,word,count,compound
0,owner's,1,0.0
1,off,28,0.0
2,greenish,2,0.0
3,mistakenly,3,-0.296
4,hair....i,1,0.0
5,dryer.<br,5,0.0
6,powerful.can't,1,0.0
7,loud<br,1,0.0
8,incidents.<br,1,0.0
9,whatever,2,0.0
10,easy!no,1,0.0
11,durably,1,0.0
12,severely,7,-0.4588
13,ipro,1,0.0
14,outstanding,14,0.6124
15,packaging.<br,1,0.0
16,serveral,1,0.0
17,needs.<br,2,0.0
18,expenssive,1,0.0
19,resistant,1,0.0
20,weenie,1,0.0
21,replacement,3,0.0
22,gifting.the,1,0.0
23,work,1,0.0
24,internally,4,0.0
25,stars<br,1,0.0
26,toothed,1,0.0
27,rv,1,0.0
28,overwhelmingly,1,-0.128
29,whined,1,-0.2263
30,argan,7,0.0
31,aroud,1,0.0
32,sturdy<br,1,0.0
33,following,2,0.0
34,pumpkin,1,0.0
35,ect,1,0.0
36,ex-girlfriend,1,0.0
37,stay,2,0.0
38,interantional,1,0.0
39,reduced,1,0.0
40,it.high,1,0.0
41,unmanagable,1,0.0
42,dose,1,0.0
43,plastic-like,1,0.0
44,br,88,0.0
45,wife-she,1,0.0
46,wow,2,0.5859
47,cheerful,1,0.5423
48,silently,1,0.0
49,freely,3,0.4404
50,make,5,0.0
51,functional<br,1,0.0
52,actully,1,0.0
53,yay,5,0.5267
54,confusing,4,-0.2263
55,travel-sized,1,0.0
56,luckily,17,0.5106
57,lighweight,1,0.0
58,momentary,2,0.0
59,imbalanced,1,0.0
60,dryer]].<br,1,0.0
61,suspect,1,-0.296
62,salon-sized,1,0.0
63,female's,1,0.0
64,kept,2,0.0
65,willing,20,0.0
66,"quickly,therefore",1,0.0
67,negative,81,-0.5719
68,salon-duty,1,0.0
69,unwilling,1,0.0
70,exclusive,2,0.128
71,subsequently,3,0.0
72,permed,2,0.0
73,somewhat,62,0.0
74,who's,1,0.0
75,wondefully,1,0.0
76,intensely,2,0.0
77,trim,2,0.0
78,oozes,1,0.0
79,tuh,1,0.0
80,merely,3,0.0
81,illini,1,0.0
82,airy,2,0.0
83,puffy...very,1,0.0
84,aside,4,0.0
85,domestically,1,0.0
86,primary,6,0.0
87,whisper,3,0.0
88,air-only,1,0.0
89,actually,312,0.0
90,bravely,1,0.5106
91,broken,24,-0.4767
92,conditioner,1,0.0
93,good!!!<br,1,0.0
94,harmless.<br,1,0.0
95,rightfully,1,0.0
96,positives:<br,1,0.0
97,pleasant,17,0.5106
98,thick.<br,1,0.0
99,february,8,0.0
100,fastly,1,0.0
101,routinely,1,0.0
102,undependable,1,0.0
103,indicative,1,0.0
104,elevate,1,0.0
105,anchored,1,0.0
106,barely,60,0.0
107,money's,2,0.0
108,lioke,1,0.0
109,level,2,0.0
110,curly/thick,1,0.0
111,shocked.<br,1,0.0
112,slid,2,0.0
113,silver-colored,1,0.0
114,all.<br,4,0.0
115,roughly,9,0.0
116,interim,2,0.0
117,therefore,19,0.0
118,january,7,0.0
119,unmovable,1,0.0
120,function.<br,1,0.0
121,starter,1,0.0
122,ok,79,0.296
123,generous,7,0.5106
124,operationally,1,0.0
125,alternate,2,0.0
126,shinny,8,0.0
127,lighter.<br,1,0.0
128,sultra,1,0.0
129,dusty,1,0.0
130,international,13,0.0
131,glossy,6,0.0
132,it--you,1,0.0
133,"long,thick",1,0.0
134,about,100,0.0
135,scaly,1,0.0
136,que,3,0.0
137,lady,1,0.0
138,officially,2,0.0
139,works,7,0.0
140,professional-looking,1,0.0
141,recent,21,0.0
142,weightless,2,0.0
143,quiet....really,1,0.0
144,frome,1,0.0
145,serviceable,3,0.0
146,important,50,0.2023
147,prolly,1,0.0
148,model's,1,0.0
149,enclosed,1,0.0
150,complaints--it's,1,0.0
151,hour's,1,0.0
152,beeswax,1,0.0
153,halfway,3,0.0
154,respectable,1,0.4404
155,a.s.a.p,1,0.0
156,twice,93,0.0
157,infiniti,15,0.0
158,hogwash,1,0.0
159,arguably,1,-0.25
160,afraid,14,0.0
161,thanks,2,0.4404
162,properly--this,1,0.0
163,transportable,1,0.0
164,chosen,1,0.0
165,alone,22,-0.25
166,straw<br,1,0.0
167,curled,2,0.0
168,healthy.the,1,0.0
169,volumizes,1,0.0
170,static,47,0.0
171,red/pink,1,0.0
172,properly,35,0.0
173,realitively,1,0.0
174,installation.would,1,0.0
175,deterrant,1,0.0
176,didn't,66,0.0
177,maximum,6,0.0
178,ge,1,0.0
179,extendable,1,0.0
180,arc'd,1,0.0
181,lightweight--a,1,0.0
182,chlorinated,1,0.0
183,pantene,1,0.0
184,lenght,2,0.0
185,seem,1,0.0
186,purposefully,1,0.0
187,reliable--or,1,0.0
188,clear,32,0.3818
189,well-vented,1,0.0
190,me:<br,1,0.0
191,rich,3,0.5574
192,cumple,1,0.0
193,sufficient,20,0.0
194,apparently,25,0.0
195,radial,1,0.0
196,foot,1,0.0
197,intentional,1,0.0
198,horrible,36,-0.5423
199,curly-ish,1,0.0
200,presentable,2,0.0
201,mind-of-its-own,1,0.0
202,heat,29,0.0
203,limp,9,0.0
204,snap-off,1,0.0
205,other,1056,0.0
206,pretty.<br,1,0.0
207,stress,1,-0.4215
208,½,1,0.0
209,flyaways,2,0.0
210,april,4,0.0
211,chose,2,0.0
212,reviews...i,1,0.0
213,frizz<br,1,0.0
214,retracted,2,0.0
215,up(although,1,0.0
216,pet,2,0.0
217,plenty.<br,1,0.0
218,sleek,69,0.0
219,decorative,1,0.0
220,desperately,1,-0.3818
221,gum,1,0.0
222,pink,23,0.0
223,hideous,1,0.0
224,speed....great,1,0.0
225,floral,1,0.0
226,dull,5,-0.4019
227,plus....soft,1,0.0
228,crowded,1,0.0
229,straw-like,1,0.0
230,unmanageable,6,0.0
231,systemic,1,0.0
232,whole,84,0.0
233,so<br,1,0.0
234,consistenly,1,0.0
235,visible,4,0.0
