,word,count,compound
0,pretty,60,0.4939
1,off,8,0.0
2,up,35,0.0
3,mistakenly,1,-0.296
4,archived,1,0.0
5,shut,3,0.0
6,slimfry,1,0.0
7,accurate,7,0.0
8,ablut,1,0.0
9,marking,1,0.0
10,freely,1,0.4404
11,admittedly,1,0.0
12,bosch,1,0.0
13,severely,1,-0.4588
14,outstanding,5,0.6124
15,munch,1,0.0
16,which--let's,1,0.0
17,compact-sized,1,0.0
18,open/close,3,0.0
19,january,4,0.0
20,work,1,0.0
21,lived/swore,1,0.0
22,likewise,1,0.0
23,albeit,1,0.0
24,cardboard-y,1,0.0
25,electrical,17,0.0
26,hesitant.<br,1,0.0
27,right,88,0.0
28,landscaper's,1,0.0
29,stout,1,0.1779
30,pre-packaged,1,0.0
31,following,4,0.0
32,microwave/oven,1,0.0
33,range,1,0.0
34,reduced,2,0.0
35,frigidaire,4,0.0
36,yep,2,0.296
37,br,35,0.0
38,prompt,3,0.0
39,cube,1,0.0
40,professionally,2,0.0
41,heavy,25,0.0
42,accelerated,1,0.0
43,possessed,1,0.0
44,make,2,0.0
45,drastically,1,0.0
46,placed,1,0.0
47,washable,1,0.0
48,tv...which,1,0.0
49,surprisingly,2,0.296
50,non-adjustable,1,0.0
51,confusing,3,-0.2263
52,if-if,1,0.0
53,steam,2,0.0
54,luckily,10,0.5106
55,recipe,1,0.0
56,painted,3,0.0
57,momentary,1,0.0
58,onsite,1,0.0
59,awfully,1,0.0
60,one..totally,1,0.0
61,willing,8,0.0
62,pre-drilled,1,0.0
63,sooooo,1,0.0
64,unwilling,4,0.0
65,control,2,0.0
66,specifically,4,0.0
67,hypothetically,1,0.0
68,somewhat,11,0.0
69,rust,4,0.0
70,reluctant,4,-0.25
71,eaten,1,0.0
72,protruding,1,0.0
73,terrible,19,-0.4767
74,trim,7,0.0
75,understandable,1,0.0
76,probably,49,0.0
77,normal-volumed,1,0.0
78,early,5,0.0
79,manufactured,1,0.0
80,moderate,4,0.0
81,repairable,2,0.0
82,traditional,3,0.0
83,silver...all,1,0.0
84,fried,2,0.0
85,preconfigured,1,0.0
86,yet.....completely,1,0.0
87,intermittent,1,0.0
88,strictly,2,0.0
89,reluctantly,2,-0.1027
90,actually,46,0.0
91,broken,6,-0.4767
92,cooked.<br,1,0.0
93,more-basic,1,0.0
94,preservative,1,0.0
95,i'm,51,0.0
96,nyc,3,0.0
97,electronic,9,0.0
98,ge's,3,0.0
99,resistant,1,0.0
100,pleasant,1,0.5106
101,lucky,2,0.4215
102,underpowered,6,0.0
103,built-in,11,0.0
104,february,3,0.0
105,routinely,1,0.0
106,patient,1,0.0
107,barely,11,0.0
108,drop-in,1,0.0
109,form,1,0.0
110,noisy.<br,1,0.0
111,counter,26,0.0
112,stop,3,-0.296
113,all.<br,4,0.0
114,roughly,1,0.0
115,whirlpool).<br,1,0.0
116,thus,12,0.0
117,unfair,2,-0.4767
118,amana,1,0.0
119,egregious,1,0.0
120,negligent<br,1,0.0
121,ok,19,0.296
122,mechanical,3,0.0
123,spade,1,0.0
124,yokoono-screeching,1,0.0
125,meat,1,0.0
126,chat,1,0.0
127,great--for,1,0.0
128,on<br,1,0.0
129,because,2,0.0
130,update,16,0.0
131,transitional,1,0.0
132,vent.<br,1,0.0
133,obnoxiously,1,-0.5106
134,about,22,0.0
135,quick,27,0.0
136,trusty,1,0.4939
137,odor,1,0.0
138,electrician’s,1,0.0
139,there's,4,0.0
140,so-called,1,0.0
141,custom-built,1,0.0
142,works,3,0.0
143,recent,4,0.0
144,facti'm,1,0.0
145,spare,1,0.0
146,non-sense,1,0.0
147,suffiecient,1,0.0
148,three-month,1,0.0
149,dec,1,0.0
150,ridiculous,8,-0.3612
151,microwave???.......easily,1,0.0
152,bad,57,-0.5423
153,important,10,0.2023
154,poor,24,-0.4767
155,fir,1,0.0
156,unfortunately,21,-0.34
157,unreadable,1,0.0
158,deficient,1,0.0
159,handed,1,0.0
160,gross,1,-0.4767
161,grill,4,0.0
162,recall.<br,1,0.0
163,twice,28,0.0
164,slight,3,0.0
165,pm,1,0.0
166,anything.<br,1,0.0
167,exactly,36,0.0
168,predictable,1,0.0
169,unattractive,2,-0.4404
170,badly,3,-0.4767
171,classy,1,0.4404
172,properly,22,0.0
173,embedded,1,0.0
174,diode--still,1,0.0
175,crazy,2,-0.34
176,maximum,1,0.0
177,top-of-the-line,1,0.0
178,non-functional,1,0.0
179,ge,36,0.0
180,hard-pressed,1,0.0
181,fine,100,0.2023
182,cooks,2,0.0
183,functional,11,0.0
184,exhaust,15,-0.296
185,lbs,2,0.0
186,aware,12,0.0
187,fumble,1,0.0
188,stupidly-basic<br,1,0.0
189,evil,2,-0.6597
190,bulb,1,0.0
191,sufficient,3,0.0
192,apparently,15,0.0
193,continuously,2,0.0
194,stuff,2,0.0
195,horrible,12,-0.5423
196,thought,1,0.0
197,internally,1,0.0
198,owners(rated,1,0.0
199,heat,5,0.0
200,frustratingly,1,-0.4588
201,other,201,0.0
202,pretty.<br,1,0.0
203,preferably,1,0.0
204,½,1,0.0
205,april,2,0.0
206,vcr,1,0.0
207,teen,1,0.0
208,smooth,9,0.0
209,sub-contracted,1,0.0
210,special,15,0.4019
211,didnt,1,0.0
212,yellow,1,0.0
213,the-range,1,0.0
214,sleek,15,0.0
215,major,21,0.0
216,desperately,1,-0.3818
217,horribly,1,-0.5267
218,muggy,1,0.0
219,stepchild,1,0.0
220,u.s.a,1,0.0
221,possible.<br,1,0.0
222,summary,1,0.0
223,ear,1,0.0
224,definitive,1,0.0
225,whole,30,0.0
226,lake,1,0.0
227,olive,2,0.0
228,easy-to-use,1,0.0
229,equal,4,0.0
230,visible,5,0.0
231,touchpad,2,0.0
232,suppose,2,0.0
233,always,45,0.0
234,expeditiously,1,0.0
235,individual,2,0.0
236,december,2,0.0
237,isolated,2,-0.3182
238,efficiently,5,0.4019
239,vent,5,0.0
240,japanese,1,0.0
241,unsavory,1,-0.4404
242,stiff,1,0.0
243,online.<br,1,0.0
244,toast,2,0.0
245,they've,2,0.0
246,annoying.<br,2,0.0
247,express,1,0.0
248,butterfly,1,0.0
249,unnecessary,2,0.0
250,drywall,1,0.0
251,unnoticeable,1,0.0
252,sexy,1,0.5267
253,sharp's,2,0.0
254,substantial,2,0.2023
255,fake,1,-0.4767
256,inexplicably,1,0.0
257,cook-top,1,0.0
258,complex,4,0.0
259,appearance,1,0.0
260,dicey,1,0.0
261,ok.<br,1,0.0
262,ugh,1,-0.4215
263,interchangeably,1,0.0
264,quietly.<br,1,0.0
265,it's,100,0.0
266,longer,16,0.0
267,unpractical,1,0.0
268,mine,2,0.0
269,e,1,0.0
270,horrendous,1,-0.5859
271,almost,37,0.0
272,over-the-stove,4,0.0
273,that's,8,0.0
274,neat,1,0.4588
275,beeps,1,0.0
276,immeasurably,1,0.0
277,non-lg,1,0.0
278,numbers.<br,1,0.0
279,nice.<br,1,0.0
280,usable,7,0.0
281,sorry,3,-0.0772
282,brightly,1,0.3612
283,highly,33,0.0
284,semi-premium,1,0.0
285,pleased,32,0.4404
286,portable,1,0.0
287,nike,1,0.0
288,symmetrical,1,0.0
