,word,count,compound
0,distilled/boiled,1,0.0
1,off,18,0.0
2,thanx,1,0.0
3,bundle,1,0.0
4,he'd,6,0.0
5,"chicco),this",1,0.0
6,these...i,1,0.0
7,dose,1,0.0
8,teacher,1,0.0
9,hands,2,0.0
10,mistakenly,2,-0.296
11,outstanding,2,0.6124
12,personalized,2,0.0
13,them...this,1,0.0
14,plasticky,3,0.0
15,resistant,2,0.0
16,napping.<br,1,0.0
17,bemused,1,0.0
18,countless,2,0.0
19,overwhelmingly,1,-0.128
20,allergic,1,-0.296
21,dr.brown,1,0.0
22,non-stop,1,0.0
23,handle...on,1,0.0
24,looooong,1,0.0
25,following,3,0.0
26,collect,2,0.0
27,boy/girl/neutral,1,0.0
28,stay,2,0.0
29,reduced,2,0.0
30,adjusted,2,0.0
31,br,43,0.0
32,swaddled,3,0.0
33,butterfly,1,0.0
34,frantically,4,-0.34
35,tops/plastic,1,0.0
36,reflux,1,0.0
37,freely,2,0.4404
38,make,4,0.0
39,washable,44,0.0
40,confusing,1,-0.2263
41,luckily,15,0.5106
42,painted,1,0.0
43,oily,2,0.0
44,easly,3,0.0
45,awfully,2,0.0
46,cute<br,2,0.0
47,willing,17,0.0
48,attracted,1,0.4215
49,sooooo,2,0.0
50,jaw,1,0.0
51,exclusive,2,0.128
52,somewhat,11,0.0
53,who's,2,0.0
54,him.<br,1,0.0
55,adept,1,0.0
56,enormous,2,0.0
57,not-so-fun,1,0.0
58,age.<br,1,0.0
59,puppy's,1,0.0
60,additional,14,0.0
61,crud,1,0.0
62,nutritive,1,0.0
63,airy,1,0.0
64,nursey,1,0.0
65,acid,1,0.0
66,un-swallowable,1,0.0
67,nap/bedtime,1,0.0
68,molly,1,0.0
69,postal,1,0.0
70,gag,9,-0.34
71,since.<br,1,0.0
72,broken,4,-0.4767
73,another...the,1,0.0
74,motnhs,1,0.0
75,nb,2,0.0
76,spunky,1,0.0
77,rightfully,1,0.0
78,zippered,2,0.0
79,em,1,0.0
80,pleasant,6,0.5106
81,next-stage,1,0.0
82,granny's,1,0.0
83,discolored,1,0.0
84,february,2,0.0
85,routinely,2,0.0
86,non-slip,1,0.0
87,wrongly,1,0.0
88,barely,24,0.0
89,apt,1,0.0
90,truely,1,0.0
91,ish,1,0.0
92,nuk,137,0.0
93,heavy--my,1,0.0
94,roughly,2,0.0
95,interim,1,0.0
96,therefore,14,0.0
97,unfair,2,-0.4767
98,thanked,1,0.4404
99,cleary.<br,1,0.0
100,ok,32,0.296
101,generous,1,0.5106
102,subdued,1,0.0
103,coordinated,1,0.0
104,acutal,1,0.0
105,girlier,1,0.0
106,dusty,3,0.0
107,international,2,0.0
108,dinky,1,0.0
109,incessantly,1,0.0
110,slippery,2,0.0
111,transitional,2,0.0
112,about,78,0.0
113,natural-material,1,0.0
114,odor,1,0.0
115,neat/cute,1,0.0
116,gerber,3,0.0
117,officially,2,0.0
118,fan!<br,1,0.0
119,recent,9,0.0
120,binkibear,1,0.0
121,important,47,0.2023
122,enclosed,1,0.0
123,lets,1,0.0
124,sox,3,0.0
125,inexperienced,2,0.0
126,bam,1,0.0
127,baby,70,0.0
128,nonstop,2,0.0
129,twice,21,0.0
130,lasts...<br,1,0.0
131,afraid,20,0.0
132,star,1,0.0
133,hady,1,0.0
134,sveral,1,0.0
135,curled,1,0.0
136,sugary,1,0.0
137,spit-proof,1,0.0
138,spanish,1,0.0
139,resilient,1,0.0
140,properly,28,0.0
141,didn't,44,0.0
142,bliss,1,0.5719
143,either...the,1,0.0
144,monkey's,2,0.0
145,dirty.<br,1,0.0
146,ubiquitous,1,0.0
147,functional,19,0.0
148,paci's,2,0.0
149,purposefully,1,0.0
150,rinse,1,0.0
151,clear,97,0.3818
152,rich,2,0.5574
153,tree,4,0.0
154,double,20,0.0
155,bulb,3,0.0
156,sufficient,1,0.0
157,apparently,16,0.0
158,sideways,1,0.0
159,anchor,1,0.0
160,horrible,21,-0.5423
161,presentable,1,0.0
162,neccesaary,1,0.0
163,other,1021,0.0
164,helps,2,0.3818
165,sooner?!<br,1,0.0
166,nuk's，my,1,0.0
167,april,1,0.0
168,chose,3,0.0
169,special,23,0.4019
170,bubbly,1,0.0
171,wabbanumb,1,0.0
172,nursery,5,0.0
173,sleek,1,0.0
174,decorative,4,0.0
175,desperately,5,-0.3818
176,seemed,1,0.0
177,gum,10,0.0
178,pink,52,0.0
179,chunky,1,0.0
180,dull,1,-0.4019
181,non-sucking,1,0.0
182,summary,3,0.0
183,talked,1,0.0
184,previously:<br,1,0.0
185,whole,121,0.0
186,spaghetti,1,0.0
187,so<br,1,0.0
188,sneakin,1,0.0
189,visible,7,0.0
190,differnt,1,0.0
191,needle,2,0.0
192,scientific,2,0.0
193,peep,1,0.0
194,appreciated,1,0.5106
195,soooooooo,1,0.0
196,boy's,2,0.0
197,simpy,1,0.0
198,breakable,1,0.0
199,distinctly,1,0.0
200,deffinatly,1,0.0
201,hot,53,0.0
202,sooner,1,0.0
203,outright,1,0.0
204,nubbie,1,0.0
205,great!i,1,0.0
206,sick,9,-0.5106
207,orthopaedic,1,0.0
208,"good,it",1,0.0
209,recommend!!!<br,1,0.0
210,complex,4,0.0
211,avent's,1,0.0
212,reliable<br,1,0.0
213,tap,1,0.0
214,interchangeably,3,0.0
215,them)...he,1,0.0
216,steap,1,0.0
217,it's,456,0.0
218,longer,20,0.0
219,preemie,1,0.0
220,silently,1,0.0
221,ubber,1,0.0
222,rascal,1,0.0
223,write,3,0.0
224,almost,177,0.0
225,gotten,2,0.0
226,leaks,1,0.0
227,made...my,1,0.0
228,advisable.<br,1,0.0
229,nuts,2,-0.3182
230,task,1,0.0
231,usable,3,0.0
232,them--not,1,0.0
233,brightly,9,0.3612
234,awkwardly,1,-0.3182
235,elasticized,1,0.0
236,soooo,13,0.0
237,symmetrical,7,0.0
238,good.<br,1,0.0
239,old!<br,1,0.0
240,to...i,1,0.0
241,brestfed,1,0.0
242,t,1,0.0
243,lightly,3,0.0
244,useless,17,-0.4215
245,lesson,1,0.0
246,nipple,281,0.0
247,flippy,1,0.0
248,hardly,16,0.0
249,schedules...bcs,1,0.0
250,unusual,3,0.0
251,glowing,1,0.0
252,diaper,24,0.0
253,stuck,6,-0.25
254,defiantly,1,0.0
255,havent,1,0.0
256,yrs,1,0.0
257,much-needed,1,0.0
258,hospial,1,0.0
259,permanently,13,0.0
260,defenetly,1,0.0
261,paci,41,0.0
262,suppose,8,0.0
263,intresting,1,0.0
264,expected,2,0.0
265,problum,1,0.0
266,universal,3,0.0
267,wasn't,9,0.0
268,l&d,1,0.0
269,indented,1,0.0
270,grey/blue,1,0.0
271,useless.<br,2,0.0
272,bigger(which,1,0.0
273,partly,1,0.0
274,glow-in-the-dark,15,0.0
275,filled,1,0.0
276,it...like,1,0.0
277,owl,2,0.0
278,kickin,1,0.0
279,obvious,8,0.0
280,"much,also",1,0.0
281,cautious,2,-0.1027
282,pacifier--have,1,0.0
283,regilar,1,0.0
284,horrable,1,0.0
285,particular,49,0.0
286,build,1,0.0
287,parent!<br,1,0.0
288,jar,1,0.0
289,less,2,0.0
290,gifts..a,1,0.0
291,yeah,2,0.296
292,technical,1,0.0
293,happyl,1,0.0
294,professional,2,0.0
295,ucsf,1,0.0
296,it...a,1,0.0
297,bpa-free.<br,1,0.0
298,appropriate,3,0.0
299,endlessly,2,0.0
300,exterior,1,0.0
301,adoreable,1,0.0
302,bay,1,0.0
303,way-too-early,1,0.0
304,fist,2,0.0
305,stick,3,0.0
306,bit,10,0.0
307,blissful,1,0.5994
308,aren't,13,0.0
309,othodonic,1,0.0
310,nuk/paci/binki,1,0.0
311,yellowish,2,0.0
312,sloppy,1,0.0
313,inexpensive,15,0.0
314,correctly,10,0.0
315,past,20,0.0
316,meaningful,1,0.3182
317,totally,54,0.0
318,cutout,1,0.0
319,angled,4,0.0
320,colors.<br,1,0.0
321,great-nephew,1,0.0
322,obviously,27,0.0
323,boy-color-themed,1,0.0
324,fantastic..a,1,0.0
325,non-issue,1,0.0
326,tamed.<br,1,0.0
327,well-constructed,1,0.0
328,mama,1,0.0
329,lost.<br,1,0.0
330,transferable,1,0.0
331,airflow,1,0.0
332,stuffed-animal,1,0.0
333,crookedly,1,0.0
