,review_id,star_rating,review_headline_clean,review_body_clean,compound,neg,neu,pos
0,R9T1FE2ZX2X04,5,work great,work great,0.6249,0.0,0.196,0.804
1,RE36JAD5V53PO,4,love travel blow dryer easy lift,dry hair faster big powerful model love travel blow dryer easy lift usually come less big dryer heavy blow hair everywhere surprising amount power compact would give five except switch easy turn one hand noisier anticipate,0.9524,0.0,0.624,0.376
2,RIDHM8B7SCCV3,5,five star,love dryer,0.6369,0.0,0.192,0.808
3,R14QGWPCHU9LSE,5,five star,style hair style,0.0,0.0,1.0,0.0
4,R35BHQJHXXJD59,4,think's great cord length perfect,get last week think's great cord length perfect,0.8316,0.0,0.435,0.565
5,R230LCPQDOFJJZ,5,five star,excellent dryer,0.5719,0.0,0.213,0.787
6,R21NN9ONVZITI0,1,get extremely hot burn hand,get extremely hot burn hand metal grate well plastic body use keep counter hot put away melt different comb start smoke use hair require high heat dry completely frizzy unsafe ridiculous soon new model arrive brand go trash,0.4215,0.064,0.808,0.128
7,RYOOYLVIAHU2A,3,everything okay,find everything go well except plug leave right opposite put plug upside charge another flaw big noise,0.2263,0.066,0.82,0.115
8,R18NK8BQ5LPMZZ,5,five star,perfect,0.5719,0.0,0.0,1.0
9,RD0BGSERMZ2JS,5,nice hairdryer work well,really like hairdryer long work well,0.5984,0.0,0.45,0.55
10,R2NEOR5Y0P7U8V,5,awesome dryer,get tho super sale love cut dry time half,0.7906,0.13,0.37,0.5
11,R3N0F2FKJOMGKK,5,work great use day week,reckon year least month work great use day week blow hot air doesnt overheat isnt big come quick didnt cost much get one like,0.765,0.0,0.769,0.231
12,R2M6U66CT3H5OY,3,style tip stay,style tip stay keep fall middle blow dry hot put back,0.0,0.0,1.0,0.0
13,R2WDYCZI91LL6K,4,blow like jet engine,nice hair dryer dual voltage come handy,0.4215,0.0,0.682,0.318
14,R1DZKVY1CJF3QP,2,great drier...........meh,great product take anywhere mins blow dry client hair old blow drier new one cut time half lots power great deal super cute update later blow cold air recommend dry price selling rubbish,0.9477,0.045,0.578,0.377
15,R3IL7ENAGVGJ3I,5,good replacement,like well one,0.5574,0.0,0.179,0.821
16,R1PEMP08D31OPZ,5,girlfriend love,quiet buy replace girlfriend's stupid loud blow dryer wake every morning thing much easy ear,-0.128,0.176,0.674,0.15
17,R35ZY5QEANBM8D,4,nice light powerful,good dryer nice attachments...very light powerful drawback switch hand mousse oil forget turn without struggle switch grip heavy groove make turn on/off easy overall good,0.9482,0.05,0.443,0.507
18,RWMEEVC97HUNG,5,great blow dryer,live hairdryer,0.0,0.0,1.0,0.0
19,R3GR9RB60NKBG0,5,five star,perfect travel,0.5719,0.0,0.213,0.787
20,R2S51H4FUT53NR,5,five star,thanks,0.4404,0.0,0.0,1.0
21,RTYQK30NMOCM6,1,hot air,i've blow dryer year finally start smoke spark bad believe would catch fire turn last long i've notice turn smell really hot air flow low fiddling heat control cool button gradually begin blow normal flow i've use cheap blow dryer past get minimum yr i'ts weekend andis close i'll attempt contact see anything willing refund/repair even replace unit please note website half blow dryer seem discontinue hmm wonder i'll update review hear hear back company,-0.3612,0.096,0.826,0.078
22,R3GELVX38EM91L,5,work like one hotel,handy work great free counter top space small bathroom,0.8481,0.0,0.395,0.605
23,ROMFVXSLZP6HW,5,obsess,use blowdryer probably decide upgrade new one thick thick moderately wavy shoulder length hair due hair thickness dry time typically wish joke dryer dry completely minute precisely thrill dry can't say enough good thing like texture dryer love speed dry cord long enough actually able use score,0.8992,0.042,0.71,0.249
24,R1MNTJKIK8FETW,5,work great wish medium setting,work great wish medium setting,0.7783,0.0,0.306,0.694
25,R1PVX4QFWHMCWO,5,complaint,blowdry hair least time week use really really old cheap bulky one get job do dryer get job do lot well small light ergonomic dry long thick hair always good thing reasonably quick great purchase long last long old one,0.8442,0.0,0.803,0.197
26,RSJM2TUS1RV7B,5,five star,love keep curls nice frizz,0.7906,0.0,0.3,0.7
27,R3QWLLEFDJAE1S,2,two star,bonnet small,0.0,0.0,1.0,0.0
28,REOAJPZWKR6K9,5,great hair dryer,really nice hair dry remington handle control ergonomic head well balance get chore handle heat setting expect dryer good job get hair dry fast without much static buildup really like dryer generous cord length ability hand dryer hook attachment fit well diffuser attachment come handy always,0.9775,0.0,0.547,0.453
29,R3KD277RB5OGGF,3,great blowdryer get job do,great blowdryer get job do thing dislike compatible universal comb attachment also blowdry hair attachment keep fall,0.7096,0.108,0.539,0.353
30,R1CH89SEVYIHW0,5,well worth money,amaze amount air come wife love wait time go cut half highly recommended feel solid like get money's worth nice long cord,0.9409,0.06,0.4,0.539
31,R3N3KZ7ZP8HJQV,4,buy,far excellent hair dryer noisy good control handle well contour nit little plastic attachment direct stream warm hot air pop little easily,0.8985,0.054,0.479,0.467
32,R1PCG4HG8GZJBE,5,five star,item work perfectly fine i'm glad order,0.8402,0.0,0.308,0.692
33,R38Q9W9BNZN2C4,5,great little dryer,hard find small blowdryer i'm happy,0.5106,0.154,0.44,0.407
34,R1WXXPRNQWE7Y6,5,perfect,perfect,0.5719,0.0,0.0,1.0
35,R3SS843K1CWOIY,5,five star,great dryer,0.6249,0.0,0.196,0.804
36,R1CBKQKQYW50UX,5,great blow dryer,look exactly photo light weight work like charm would definitely recommend,0.8555,0.0,0.402,0.598
37,R3DTN85N6X9SIS,5,great dryer travel,small strong great dryer travel also dual voltage glad buy,0.886,0.0,0.402,0.598
38,R3LY7MANJ71HBW,3,conair full air,good original conair makeover upgrade always yield best result instance replica lack basic function blow dry temperature adjustment set high low fan speed also order use air feature heat cool button press hold use basic function cause person's finger get tire hold button use slide switch retract cord miss probably valuable feature original conair make dryer much portable even useful travel new cord sprawl bathroom counter original much well slightly small watt power directional air controller overall worth investment,0.9666,0.06,0.653,0.287
39,R24QP0W6EEOHUS,5,easy mount wall,seem work well easy mount wall,0.6124,0.0,0.444,0.556
40,RLQUFMAV4PDJV,5,petite powerful performance,time buy little hair dryer like much first one finally bite dust year small lightweight--a plus suitcase still powerful enough blow dry hair fast short hair sweet little dryer need dry style hair--no need comb brush frills--only speeds--high low exactly need fast,0.7128,0.044,0.789,0.167
41,RO9KNA385PZML,5,five star,complaint,-0.296,1.0,0.0,0.0
42,R2XSDRSLLGC750,1,one star,good,0.4404,0.0,0.0,1.0
43,R1GNASF5UI5MFK,5,work great dried hair minute,use work great dried hair minute,0.6249,0.0,0.549,0.451
44,RP1Z1HVOLQD34,5,excellent value travel dryer budget,compact yet powerful easy pack travel excellent value price much well blow dryer available price satisfy need,0.9423,0.0,0.394,0.606
