,review_id,star_rating,review_headline_clean,review_body_clean,compound,neg,neu,pos
0,RY52KZABZK8QF,1,recommend go use money something,button stop work month use used twice day recommend go use money something durable oh also big plate fit,0.4215,0.095,0.69,0.216
1,R3GCOEV4HYZG2I,5,looks good picture,use long can't attest price extremely good look feel like quality build know small nuking turkey super high wattage may take bit longer must can soup minute work,0.8622,0.0,0.723,0.277
2,R1V2OPPNL0QGCE,4,four star,nice microwave great price,0.7845,0.0,0.225,0.775
3,R9Q0QDTLKV567,3,quiet,quiet seem like watt power,0.3612,0.0,0.615,0.385
4,R3DL7HYC3QTWNI,4,four star,big thought,0.0,0.0,1.0,0.0
5,R3M88678ZYC6WI,5,great microwave,really love microwave one touch setting want along second button great size countertop little noisy beep others say,0.8586,0.056,0.553,0.391
6,R2G20T7N6L3HO1,1,stop work year,buy microwave year ago part home remodel great work recently stop work sharp warranty year amount money spend would expect last year,0.4404,0.084,0.76,0.156
7,R29F0E6EJJCEEM,4,pleased packaging easy instruction set,pleased packaging easy instruction set worth order,0.7717,0.0,0.342,0.658
8,R1WU4A3QFKJ0HT,5,great value money,neat little unit complaint,0.2682,0.278,0.289,0.433
9,R2Q061UH1EJHIJ,2,great review order,finish nice match stainless steel/black wall oven nicely however button open door longer open first try need help occasionally something internal microwave make noise tray rotate,0.8126,0.0,0.732,0.268
10,R2F0TUS62C3ZCN,5,great little microwave,excellent small microwave recently move apartment built-in microwave also kitchen big microwave perfect footprint small however pack punch plate fit cook everything evenly downside open close door whole microwave sometimes may move heavy i'm go fault simply put hand top opening/closing,0.8807,0.088,0.634,0.278
11,R2X9MN0B0MVUZT,4,four star,work really well,0.3384,0.0,0.455,0.545
12,R35P4D0NHKAGKE,5,five star,love microwave give space kitchen con price,0.6369,0.0,0.588,0.412
13,R2V6PXBBC9ZPKZ,3,never use wife insist buy,never use wife insist buy new microwave buy contact ge give credit say worry paint peel tell wife ok read review make sound alittle difficult use,-0.1531,0.168,0.683,0.149
14,R1MTXPHNTE0OEM,1,device need recall death go occur,currently third microwave lg first microwave failed week take week lg get new microwave next microwave last month go thanksgiving buy brand microwave work perfectly last month lg fail month lowes home depot replace microwave reading blog never brand microwave fail often go take lg court know major problem many failure yet continue produce worthless piece junk appear another bean counter situation cheaper give new machine fix damage recall product,-0.9531,0.253,0.7,0.047
15,RR48906IDDC7R,5,week far great microwave powder quite strong,week far great microwave powder quite strong grill plate high bulkier food would complain,0.7346,0.118,0.519,0.363
16,R3BRGLMPYWFS2N,1,got use grill feature fun,microwave turntable light would come sometimes closed door first able cook microwave eventually get get cook matter try unplug would sit rotate heat sadly send back get use grill feature fun,0.1531,0.08,0.795,0.125
17,R1FB7BN6Z0L3XO,5,funny story,funny story....years ago husband find one cube microwave garage sale perfect daughter extremely small kitchen little counter space etc recently move old home new home lot charm little counter space room range microwave new little whirlpool cube fit perfectly corner space new little kitchen love love love it....however would easier price pocket book lol,0.9862,0.0,0.571,0.429
18,R3U4EMQXXN5ZWA,4,love nuke,good price continue work well since december month recent complaint glass carousel longer seem fit tightly plastic gear center therefore make rattle sound gear turn see could cause loose fit nevertheless carousel turn quietly.<br br otherwise great buy still easy clean love use setting one-touch cooking time minute really like able turn microwave second simply touch one time people complain door hard open large button push entire microwave move experience seldom use program setting vegetable popcorn potato etc bad experience burn minibag popcorn microwave sense need stop cooking however fine bake potato.<br br understand benefit rather extreme concave back interior contributes cu ft interior volume size right regardless certainly best buy amazon purpose,0.9769,0.096,0.633,0.271
19,RCFH27W77OTPH,4,great product size perfect work,although slide open door great product size perfect work great.<br br kitchen design cant push microwave wall microwave slide,0.8316,0.0,0.685,0.315
20,R2R63T6FP7G9JL,4,four star,solid microwave good price,0.5423,0.0,0.308,0.692
21,RLQM6VC4WYV08,1,timer,microwave every button world except simple timer use microwave timer everything stupid microwave expensive include basic kitchen timer,-0.5267,0.167,0.833,0.0
22,R3YSEIBEK0XYT,5,timely delivery good product,prompt delivery microwave back run,0.0,0.0,1.0,0.0
23,R9HXJK5NX9IPY,5,five star,attractive useful mircorwave,0.7003,0.0,0.147,0.853
24,R14FJ9TGHJN8X8,5,whirlpool cubic ft microwave white,although hold nice size dish love control bottom counter space limit peer would great dorm room,0.9022,0.0,0.539,0.461
25,R36FKD0RA85LD2,3,danby cuft microwave good unit,unit lighter expect cook expect door latch hard push hard enough move unit open light come unit run door open button convenient cook read direction difference set power level microwave own go unit due review size price,-0.2023,0.074,0.926,0.0
26,RV08WAK7KQ5C8,5,five star,extremly satisfy,0.4588,0.0,0.25,0.75
27,RUMJPRPFJFIZ2,5,work well sharp carousel ii,work well old sharp carousel ii microwave enough coat first make sure sand prime rust spot show,0.5267,0.0,0.773,0.227
28,R29HSQ1GJXRRXH,5,great purchase microwave job,great purchase microwave job great price,0.8481,0.0,0.328,0.672
29,RRO2C7LNHYSSL,5,five star,excellent result,0.5719,0.0,0.213,0.787
30,ROKWTKVHCUN0D,5,five star,work great product describer deliver promptly time,0.6249,0.0,0.594,0.406
31,R23IP4R4VPCU7W,5,trucker mucrowave,perfect semi truck watts run watt inverter,0.5719,0.0,0.619,0.381
32,R3ALDVS4RB8YJD,4,gap top right,receive mine run see interior light shin gap top corner sure normal safe i've submit question i'll give star review look slightly annoy bang door make close pending heat answer question i'll update i'm attach picture gap.<br br update well gap seem normal feature seem affect operation microwave oven way mostly use heat leftover work great purpose try serious cook loud door far tolerable us barely noticeable update review star five gap,0.8516,0.048,0.792,0.161
33,R7LFUNGK7ZW6L,5,five star,work well proper preparation,0.2732,0.0,0.588,0.412
34,RYUZHTA87W6I9,3,i'm idiot,give three star order get message on-to page must rate product well first more-than-likely last attempt rate product receive it?i old sharp model longer ever list sharps page repair oem well guess order however burn sharp motor i'm think rpm three v...is same...so i'll maybe lose money part one wish stupid...i know,0.4939,0.047,0.833,0.12
35,R2UQX5X29O3ICI,4,fit want perfect like look,order boat rebuild real sure go work yet fit wanted perfect like look tell present time terry,0.875,0.0,0.542,0.458
36,R3MSBQ3L6OIFIP,5,five star,good,0.4404,0.0,0.0,1.0
37,RPR2PCYD8LDEM,4,pretty powerful look many,need one hurry teen buy pretty powerful look many brand actually machine,0.7184,0.0,0.625,0.375
38,R17Z5LA3XNPOSX,5,great unit take fiddle install,great unit take fiddle install unit really nice,0.8016,0.0,0.455,0.545
39,R1V1MIFZU32A97,5,fabuous whirlpool mini,find small blue cube micro wave year ago year service finally wear love cube shape take risk order little gem happy great size outside fabulous power last microwave would hesitate purchase totally worth price,0.9307,0.087,0.56,0.353
40,R33HSAVWTVNLG6,5,five star,love lg product get product timely manner,0.6369,0.0,0.588,0.412
