,review_id,star_rating,review_headline_clean,review_body_clean,compound,neg,neu,pos
0,R1A3ZUBR8TSAKY,5,love,perfect match gund huggybuddy bought baby gift,0.765,0.0,0.431,0.569
1,RLJNYBK4FGBYX,5,love,little girl love paci contraption,0.6022,0.0,0.505,0.495
2,R26QCW75C4JDOK,5,five star,son love one sleep one,0.6369,0.0,0.488,0.512
3,R2E7N0TVLUHUDR,5,five star,perfect,0.5719,0.0,0.0,1.0
4,R1SO9VMCIGZX3U,5,five star,amaze addition nursery,0.5423,0.0,0.364,0.636
5,R2EUVAGKYPV8Z3,5,five star,great breathable basic pacifier,0.6249,0.0,0.423,0.577
6,R2EC65V4U7R8FZ,5,five star,great pacifier,0.6249,0.0,0.196,0.804
7,RG9XY3EKPUCL1,3,job,bear exactly order heartbeat/womb sound help first daughter sleep still sleep heartbeat bear almost baby number wish volume could turn bear also darker chocolate brown anticipate base item picture disappoint edit womb noise time restart hassle turn switch back work require turn switch multiple time get restart womb noise sometimes take two time sometimes take seven reliable wish would purchase different heartbeat bear,0.5986,0.039,0.837,0.124
8,R1QR2VQN2KLU6Z,5,kid love,baby boy love like hold giraffe happy kid happy parent,0.9337,0.0,0.299,0.701
9,R3PRYHYQE0TLYK,5,love nuk brand bottle pacifier,love nuk brand bottle pacifier pacifier exception brand kiddos would take easy lose pack worth buy color exactly picture would recommend buy pacifier bottle together baby recognize nipple take easy love othodonic shape natural breastfed baby worry teeth problem would definitely recommend product,0.9517,0.127,0.473,0.401
10,R2M4WTN0Z3EJZ5,5,mustache question,go well baby one-piece tuxedo excellent,0.7003,0.0,0.408,0.592
11,R2WGKHKDDYUBV8,5,five star,perfect love,0.836,0.0,0.0,1.0
12,R2UQFAFNMGSFKE,4,four star,like others that's matter,0.3818,0.0,0.357,0.643
13,R1B3QE6JZ2OKEY,5,baby's favorite,type pacifier baby take stay mouth really well compare brand try love,0.7645,0.0,0.603,0.397
14,R3CSWENZZI15LL,5,five star,cute,0.4588,0.0,0.0,1.0
15,R31OJB468465EI,5,love shape allow daughter,love shape allow daughter get good suction stay mouth,0.8402,0.0,0.4,0.6
16,R28PVLOQYIT58Q,4,like pacifier,like pacifier reason give high rating animal attach help pacifier stay child's mouth,0.6369,0.0,0.679,0.321
17,R15YIDY8YOE6WJ,5,five star,good,0.4404,0.0,0.0,1.0
