,review_id,good,new,perfect,easy,great,never,negative,bad,dead,horrible
0,RY52KZABZK8QF,not,not,not,not,not,not,not,not,not,not
1,R3GCOEV4HYZG2I,in,not,not,not,not,not,not,not,not,not
2,R1V2OPPNL0QGCE,not,not,not,not,in,not,not,not,not,not
3,R9Q0QDTLKV567,not,not,not,not,not,not,not,not,not,not
4,R3DL7HYC3QTWNI,not,not,not,not,not,not,not,not,not,not
5,R3M88678ZYC6WI,not,not,not,not,in,not,not,not,not,not
6,R2G20T7N6L3HO1,not,not,not,not,in,not,not,not,not,not
7,R29F0E6EJJCEEM,not,not,not,in,not,not,not,not,not,not
8,R1WU4A3QFKJ0HT,not,not,not,not,not,not,not,not,not,not
9,R2Q061UH1EJHIJ,not,not,not,not,not,not,not,not,not,not
10,R2F0TUS62C3ZCN,not,not,in,not,not,not,not,not,not,not
11,R2X9MN0B0MVUZT,not,not,not,not,not,not,not,not,not,not
12,R35P4D0NHKAGKE,not,not,not,not,not,not,not,not,not,not
13,R2V6PXBBC9ZPKZ,not,in,not,not,not,in,not,not,not,not
14,R1MTXPHNTE0OEM,not,in,in,not,not,in,not,not,not,not
15,RR48906IDDC7R,not,not,not,not,in,not,not,not,not,not
16,R3BRGLMPYWFS2N,not,not,not,not,not,not,not,not,not,not
17,R1FB7BN6Z0L3XO,not,in,in,not,not,not,not,not,not,not
18,R3U4EMQXXN5ZWA,not,not,not,in,in,not,not,in,not,not
19,RCFH27W77OTPH,not,not,in,not,in,not,not,not,not,not
20,R2R63T6FP7G9JL,in,not,not,not,not,not,not,not,not,not
21,RLQM6VC4WYV08,not,not,not,not,not,not,not,not,not,not
22,R3YSEIBEK0XYT,not,not,not,not,not,not,not,not,not,not
23,R9HXJK5NX9IPY,not,not,not,not,not,not,not,not,not,not
24,R14FJ9TGHJN8X8,not,not,not,not,in,not,not,not,not,not
25,R36FKD0RA85LD2,not,not,not,not,not,not,not,not,not,not
26,RV08WAK7KQ5C8,not,not,not,not,not,not,not,not,not,not
27,RUMJPRPFJFIZ2,not,not,not,not,not,not,not,not,not,not
28,R29HSQ1GJXRRXH,not,not,not,not,in,not,not,not,not,not
29,RRO2C7LNHYSSL,not,not,not,not,not,not,not,not,not,not
30,ROKWTKVHCUN0D,not,not,not,not,in,not,not,not,not,not
31,R23IP4R4VPCU7W,not,not,not,not,not,not,not,not,not,not
32,R3ALDVS4RB8YJD,not,not,not,not,in,not,not,not,not,not
33,R7LFUNGK7ZW6L,not,not,not,not,not,not,not,not,not,not
34,RYUZHTA87W6I9,not,not,not,not,not,not,not,not,not,not
35,R2UQX5X29O3ICI,not,not,in,not,not,not,not,not,not,not
36,R3MSBQ3L6OIFIP,not,not,not,not,not,not,not,not,not,not
37,RPR2PCYD8LDEM,not,not,not,not,not,not,not,not,not,not
38,R17Z5LA3XNPOSX,not,not,not,not,in,not,not,not,not,not
39,R1V1MIFZU32A97,not,not,not,not,in,not,not,not,not,not
40,R33HSAVWTVNLG6,not,not,not,not,not,not,not,not,not,not
41,R37VRG2JRLUORR,in,not,not,not,not,not,not,not,not,not
42,R1UFH7URKHIN3E,not,in,not,not,not,not,not,not,not,not
43,R3M0JKAJ6MB493,not,not,not,in,not,not,not,not,not,not
44,RE5FI6X7K940Q,not,not,not,not,not,not,not,not,not,not
45,R4IVJK585QSVN,in,not,not,not,not,not,not,not,not,not
46,R191WJ8DHZTEB3,not,not,not,not,not,not,not,not,not,not
47,RX0KIGMX2MNAG,in,not,not,not,not,not,not,not,not,not
48,R33QQZWE5WZ1MK,not,not,not,in,not,not,not,not,not,not
49,R2XD9H8S4VPDDT,not,not,not,in,in,not,not,not,not,not
50,R2OXNE998ILXLZ,not,not,not,not,not,not,not,not,not,not
51,R1CXMZHGT72D65,not,not,not,in,not,not,not,not,not,not
52,RUXO2SYPJHRAR,in,in,not,not,not,not,not,not,not,not
53,R1DDJOZCYZBOT9,not,not,not,not,not,not,not,not,not,not
54,R2A9T9J3IZ5H5E,not,not,not,not,not,not,not,not,not,in
55,R3EPBXK1X7BZDI,not,in,not,not,not,not,not,not,not,not
56,R1HFUJLGGZLA2X,not,not,not,not,not,not,not,not,not,not
57,R1SGRCSYQEMI0F,not,in,not,not,not,in,not,not,not,not
58,R198VUDI60EYSE,not,not,not,not,not,not,not,not,not,not
59,R2VDH787K2ZDVS,not,not,not,not,not,not,not,not,not,not
60,RJSZGT70TBDBX,not,not,not,not,not,not,not,not,not,not
61,R1LKTKXR8G1437,not,not,not,not,not,not,not,not,not,not
62,R2UDBTRZJPU09T,not,not,not,not,not,not,not,not,not,not
63,R2487ZJ2GCE02N,in,not,not,not,not,not,not,not,not,not
64,R33PO0Y4KJSRIB,not,in,not,not,not,not,not,not,not,not
65,R32U84HFYW9RAB,not,not,not,in,in,not,not,not,not,not
66,R243KI1FG0AU9V,not,not,not,not,not,not,not,not,not,not
67,R2WZZTZYTMETND,not,not,not,not,in,not,not,not,not,not
68,R3E7YAWJUADFEN,not,not,not,not,not,not,not,not,not,not
69,R2DJ78G40RCH9Z,not,not,in,not,not,not,not,not,not,not
70,RN8OH8WQQAE3Z,not,not,not,not,not,not,not,not,not,not
71,R1J4VBBQ7CY8LY,not,not,not,not,not,not,not,in,not,not
72,RRC3S9SHXY1XP,in,not,not,not,not,not,not,not,not,not
73,R2S6C5PBXVCHFD,not,not,not,not,not,not,not,not,not,not
74,R1RCBMXTERHOHJ,not,not,not,not,not,not,not,not,not,not
75,RTRM5DKF96E9D,in,not,in,not,not,not,not,not,not,not
76,R32N9OYUHZYHKB,not,not,in,not,not,not,not,in,not,not
77,R39MLY03O5BEIB,not,not,not,not,not,not,not,not,not,not
78,R24L0SMFBBZ6HY,not,not,not,not,not,not,not,not,not,not
79,R30L6DPZXQ6JDR,not,not,not,not,in,not,not,not,not,not
80,R3B1AXP92P40OK,not,not,not,not,not,not,not,not,not,not
81,R199R4XPI71OP6,not,not,not,in,not,not,not,not,not,not
82,R24NEPZ4WFT7C0,not,not,not,not,not,not,not,not,not,not
83,R1PIZ8HOJNUTAF,not,not,not,not,not,not,not,not,not,not
84,R2B33BCFFCQ4DW,in,not,in,not,not,not,not,not,not,not
85,R23V86M1E49J6O,not,not,not,not,in,not,not,not,not,not
86,R2E1MRFF2ETWMV,not,not,not,not,not,not,not,not,not,not
87,R7AL22LD3THYB,in,not,not,not,in,not,not,not,not,not
88,R3RHTF0LIO1OBB,not,not,not,not,not,not,not,not,not,not
89,R1AJIP6XR52IJV,not,in,not,not,in,not,not,not,not,not
90,R23Q0HY498I6ZP,not,not,not,not,not,not,not,not,not,not
91,R2CJ5TXV3GIRDY,not,not,not,not,not,not,not,not,not,not
92,R2L4EY0P304JL8,not,not,not,not,not,not,not,not,not,not
93,R3MIJAFRTBPML3,not,not,not,not,in,not,not,not,not,not
94,R3E421W44VLOGE,not,not,not,not,not,not,not,not,not,not
95,R3WP6JWEIUWIA,not,not,not,not,not,not,not,not,not,not
96,R2BODWYT9PR3JB,not,not,not,not,not,not,not,not,not,not
97,RYOE2GLDD0U0X,not,not,not,not,not,not,not,not,not,not
98,R1KHFT5CGKK48W,not,not,not,not,not,in,not,not,not,not
99,R2D7WQTXCQ18T6,not,not,not,not,not,not,not,not,not,not
100,R2ZYJNJLVR8CP0,in,not,not,not,not,not,not,not,not,not
101,R3P9DLH7MBKD1M,not,not,not,not,not,not,not,not,not,not
102,RL1QISLPTAI4,in,not,not,not,not,not,not,not,not,not
103,R3K2D443JAU9RW,not,not,not,not,not,not,not,not,not,not
104,R1BR2L4W12N06P,not,not,not,not,in,not,not,not,not,not
105,R3IKOSBYNYQXBP,not,not,not,not,not,not,not,not,not,not
106,R3B2XBII0AQEFS,not,not,not,not,not,not,not,not,not,not
107,R7GHMJIK7ZYZQ,not,not,not,not,not,not,not,not,not,not
108,RL3IWA2QSALS8,not,not,not,not,not,not,not,not,not,not
109,R1LD5M4RE6WLCE,not,not,not,not,not,not,not,not,not,not
110,R16Q3SEKYGVNE6,in,not,in,not,in,not,not,not,not,not
111,R1JYKFIFTON0K9,in,not,not,not,not,not,not,not,not,not
112,REKNRPIWYQC90,not,not,not,not,not,not,not,not,not,not
113,R2UL1AD92GYETH,not,not,not,not,not,not,not,not,not,not
114,R10L8O0TS6FAG4,not,in,not,in,in,not,not,not,not,not
115,R1WS8X1AG8C5MN,not,not,not,not,not,not,not,not,not,not
116,R2M9JER1R33XNZ,not,not,not,not,not,not,not,not,not,not
117,R2NR0KJ8SLR2WL,not,in,not,not,not,not,not,not,not,not
118,R9ECQ1ZR56HC2,in,not,in,in,not,not,not,not,not,not
119,R3OQ1KN5DVJ89D,in,in,not,not,not,not,not,not,not,not
120,RAPJI82JLVHI1,not,not,not,not,not,not,not,not,not,not
121,R3TC2LG93ZKSXR,not,not,not,not,not,not,not,not,not,not
122,R1ZWVVTCOWDM71,not,not,not,not,not,not,not,not,not,not
123,R2WP0WR00QL0V1,not,not,not,not,not,not,not,not,not,not
124,R2QH24GL108GJ8,not,not,not,not,not,not,not,not,not,not
125,RY4326S1Y1KGT,not,not,not,not,in,not,not,not,not,not
126,RQGWL6FSHWCHS,in,not,not,in,not,not,not,not,not,not
127,R2YLWV5JRVCK78,not,not,not,not,not,not,not,not,not,not
128,R3LWJVDVB6KWCV,not,not,not,not,not,not,not,not,not,not
129,R2SB6J0RPRDTLH,not,not,not,not,not,not,not,not,not,not
130,R1RZY6WFAX3VL5,not,not,not,not,not,not,not,not,not,not
131,R10PK7DWAEONM6,not,in,not,in,not,not,not,not,not,not
132,R2OWZI76PO1NG9,in,not,not,not,not,not,not,not,not,not
133,R3TDTW18NRVOQR,not,in,not,not,not,not,not,not,not,not
134,R3OZD227MDBDHL,in,not,in,not,not,not,not,not,not,not
135,R15A4WHTTFWEI8,not,not,not,not,not,not,not,not,not,not
136,R1QWHQ8TFNMJ40,not,not,not,not,not,not,not,not,not,not
137,ROJMMFHOJTELU,not,in,not,not,not,not,not,not,not,not
138,R3E0UBBYGRCFRR,not,not,in,not,not,not,not,not,not,not
139,R23DF21WLIID6F,not,not,not,not,not,not,not,not,not,not
140,R2S14XJ2751E4X,not,not,not,not,not,not,not,not,not,not
141,R29P1XS5DMQ7FY,not,not,not,not,not,not,in,not,not,not
142,RWI2FSOJQXPTW,not,not,not,not,not,not,in,not,not,not
143,R2C1SZLAR10YS3,in,not,not,not,in,not,not,not,not,not
144,R1Z5MFDJGISHRU,not,not,not,not,not,not,not,not,not,not
145,R22FBTW1LVP90S,not,not,in,not,in,not,not,not,not,not
146,R17BI1WY8EQY78,not,not,not,not,not,not,not,not,not,not
147,R2C3R2WPMW8XNE,not,not,not,not,not,not,not,not,not,not
148,R3070M1GUMFCBN,not,not,not,not,not,not,not,not,not,not
149,RSLNVGRUD0SAF,not,not,not,not,not,not,not,not,not,not
150,R2YMXF378Y8F4A,not,not,not,not,not,not,not,not,not,not
151,REU14VXUS7CGL,not,not,not,not,not,not,not,not,not,not
152,RET70WLZ98W1N,not,not,not,not,in,in,not,not,not,in
153,RC7Y30OR77HQK,not,not,not,not,not,not,not,not,not,not
154,R38UTIHXDTJLZC,not,not,not,not,not,not,not,not,not,not
