,review_id,awesome,great,cute,clean,favorite,dirty,loose,expensive,unfortunately,wrong
0,R1A3ZUBR8TSAKY,not,not,not,not,not,not,not,not,not,not
1,RLJNYBK4FGBYX,not,not,not,not,not,not,not,not,not,not
2,R26QCW75C4JDOK,not,not,not,not,not,not,not,not,not,not
3,R2E7N0TVLUHUDR,not,not,not,not,not,not,not,not,not,not
4,R1SO9VMCIGZX3U,not,not,not,not,not,not,not,not,not,not
5,R2EUVAGKYPV8Z3,not,not,not,not,not,not,not,not,not,not
6,R2EC65V4U7R8FZ,not,not,not,not,not,not,not,not,not,not
7,RG9XY3EKPUCL1,not,not,not,not,not,not,not,not,not,not
8,R1QR2VQN2KLU6Z,not,not,not,not,not,not,not,not,not,not
9,R3PRYHYQE0TLYK,not,not,not,not,not,not,not,not,not,not
10,R2M4WTN0Z3EJZ5,not,not,not,not,not,not,not,not,not,not
11,R2WGKHKDDYUBV8,not,not,not,not,not,not,not,not,not,not
12,R2UQFAFNMGSFKE,not,not,not,not,not,not,not,not,not,not
13,R1B3QE6JZ2OKEY,not,not,not,not,not,not,not,not,not,not
14,R3CSWENZZI15LL,not,not,not,not,not,not,not,not,not,not
15,R31OJB468465EI,not,not,not,not,not,not,not,not,not,not
16,R28PVLOQYIT58Q,not,not,not,not,not,not,not,not,not,not
17,R15YIDY8YOE6WJ,not,not,not,not,not,not,not,not,not,not
18,r2fs20tloqbb7v,not,not,not,not,not,not,not,not,not,not
19,r15jbyjr38bp85,not,not,not,not,not,not,not,not,not,not
20,R3MLL7RWQF0O81,not,not,not,in,in,not,not,not,not,not
21,R3I217L0P5PRJ1,not,in,not,not,not,not,not,not,not,not
22,R2WOALUE0F2T34,not,not,not,not,not,not,not,not,not,not
23,RJ2ESUGLL44TE,not,not,not,not,not,not,not,not,not,not
24,R12GS48GGS342D,not,not,not,not,not,not,not,not,not,not
25,RF9AFROPBZDOB,not,not,not,not,not,not,not,not,not,not
26,RB9WN05XBWHNS,not,not,not,not,not,not,not,not,not,not
27,R19MRGJZHVATQ3,not,not,not,not,in,not,not,not,not,not
28,R3K4BR7TIXGEOX,not,in,not,not,not,not,not,not,not,not
29,R32PSTXBHIC7L7,not,not,not,not,not,not,not,not,not,not
30,R276A8JHY3995L,not,not,not,not,not,not,not,not,not,not
31,RG069FYKF0U2U,not,in,not,not,not,not,not,not,not,not
32,R2LHORKBRA09RO,not,not,not,not,not,not,not,not,not,not
33,R28NXUO2TRX9ZW,not,not,not,not,not,not,not,not,not,not
34,R3R0UQWQOR8MDJ,not,not,not,not,not,not,not,not,not,not
35,RAV784AEUO7SA,not,not,not,not,in,not,not,not,not,not
36,R3E7AL77KGTT8B,not,not,not,not,not,not,not,not,not,not
37,R2MENJ5IB4AWC0,not,not,not,not,in,not,not,not,not,not
38,r357c38jyv00lr,not,not,not,not,not,not,not,not,not,not
39,R17CIEP2M4146I,not,not,not,not,not,not,not,not,not,not
40,R398TDP4U486LC,not,not,not,not,not,not,not,not,not,not
41,R33ZWKQXUQQDZ,not,in,not,not,not,not,not,not,not,not
42,R25DMG4XWJJ3DE,not,not,not,not,not,not,not,not,not,not
43,R7LY1OIA4JT2L,not,not,not,not,not,not,not,not,not,not
44,R183JJT0CPS09X,not,not,not,not,not,not,not,not,not,not
45,R25SDKA4FJHMYA,not,not,in,not,not,not,not,not,not,not
46,R1Z2PRKQW6QYYN,not,not,not,not,not,not,not,not,not,not
47,R2NH9GDPZDEL9W,not,not,not,not,not,not,not,not,not,not
48,R2O1PZX3XZ9ZOF,not,not,not,not,not,not,not,not,not,not
49,R2FCN5FV5F97WC,not,not,not,not,not,not,not,not,not,not
50,RRHADB6U5D4E1,not,not,not,not,not,not,not,not,not,not
51,R139D5GYPAJDRZ,not,not,not,not,not,not,not,not,not,not
52,R3CVEQ5UE25IE9,not,in,not,not,not,not,not,not,not,not
53,R2AGH5OVT2ACNO,not,not,not,not,not,not,not,not,not,not
