,review_id,compound_unclean
0,R9T1FE2ZX2X04,0.6588
1,RE36JAD5V53PO,0.9562
2,RIDHM8B7SCCV3,0.6696
3,R14QGWPCHU9LSE,0.0
4,R35BHQJHXXJD59,0.8316
5,R230LCPQDOFJJZ,0.5719
6,R21NN9ONVZITI0,-0.2244
7,RYOOYLVIAHU2A,0.4545
8,R18NK8BQ5LPMZZ,0.5719
9,RD0BGSERMZ2JS,0.5984
10,R2NEOR5Y0P7U8V,0.8016
11,R3N0F2FKJOMGKK,0.765
12,R2M6U66CT3H5OY,-0.1531
13,R2WDYCZI91LL6K,0.4215
14,R1DZKVY1CJF3QP,0.8717
15,R3IL7ENAGVGJ3I,0.5574
16,R1PEMP08D31OPZ,-0.1531
17,R35ZY5QEANBM8D,0.9367
18,RWMEEVC97HUNG,0.0
19,R3GR9RB60NKBG0,0.5719
20,R2S51H4FUT53NR,0.4404
21,RTYQK30NMOCM6,-0.4039
22,R3GELVX38EM91L,0.8107
23,ROMFVXSLZP6HW,0.93
24,R1MNTJKIK8FETW,0.7783
25,R1PVX4QFWHMCWO,0.9297
26,RSJM2TUS1RV7B,0.7906
27,R3QWLLEFDJAE1S,0.0
28,REOAJPZWKR6K9,0.9324
29,R3KD277RB5OGGF,0.6369
30,R1CH89SEVYIHW0,0.9512
31,R3N3KZ7ZP8HJQV,0.845
32,R1PCG4HG8GZJBE,0.8619
33,R38Q9W9BNZN2C4,0.5297
34,R1WXXPRNQWE7Y6,0.5719
35,R3SS843K1CWOIY,0.6249
36,R1CBKQKQYW50UX,0.8555
37,R3DTN85N6X9SIS,0.8932
38,R3LY7MANJ71HBW,0.6157
39,R24QP0W6EEOHUS,0.6124
40,RLQUFMAV4PDJV,0.722
41,RO9KNA385PZML,-0.5994
42,R2XSDRSLLGC750,-0.3412
43,R1GNASF5UI5MFK,0.7684
44,RP1Z1HVOLQD34,0.8994
45,R20ZGQIMYDIS4H,0.9078
46,R17M5MZ51QMVCK,0.6213
47,R3F0HVXSBUC4ZA,-0.5719
48,RVQC05SNQCV7U,-0.6597
49,R2CNQVPGS12Q9U,0.4754
50,R2DCN3LVLN029S,0.0
51,R2AVR4LDQJ9ZC3,0.918
52,R3U2Q8FK78NL25,0.5994
53,R1VR5BNNT6O42J,0.9427
54,R1NRG8W14M4CLG,0.765
55,R3L5SKZ80SISVL,-0.4144
56,R3TK7ALY9OX6AU,0.4588
57,R14H2YRC78LPRI,0.4215
58,R325ASXFQ8D66J,0.4404
59,RXTB7K8FZ2CUI,0.1501
60,R2SACSUOBNV12T,0.987
61,R2RBWYAKZAUX1M,0.8827
62,R2B9QSQYIMD9IQ,0.7506
63,R2CWOY8AIVXR78,0.7485
64,RH1COQMQTTTQK,0.995
65,RGCXNOF41RJUV,0.4404
66,R27KFIYH6UN3Z9,0.0
67,R2MAVSNJJ62S54,0.706
68,R1VTV0AKB52C9H,0.904
69,R1V4NOB6BPAQP7,0.0
70,RJRW0RDNSZ6I1,0.872
71,R6TDV0VZY8MJ2,0.6468
72,R19QC4I6XAFVRT,0.6213
73,R5QPK9FEGOJMS,0.7096
74,R3ATL80Z74M7OG,0.0
75,R7GF4Y91VF0QF,0.4404
76,R2UB31YAU4O9TO,0.177
77,R1JPB4C7WUPASJ,0.6808
78,R2O4W8PM98H3XE,0.3549
79,RAKZYMW6TR3GS,0.4664
80,R1X47WDNBT4OHZ,0.7418
81,R1BHICCLA0TLA3,0.6369
82,R22CALOXJCOQOZ,0.8593
83,R3MUY94GYQOVXT,0.0
84,RX4KK6EUQL2UU,0.8713
85,R2XBF2DRY15JIU,0.9116
86,R2NIAGVHHIJBYH,0.3382
87,R3NYBF74UO3OLT,0.4404
88,R1PR84OBE7Q3KM,0.0
89,R1EESPDTO6C4EE,0.7405
90,R3PLPPJMD961Z0,0.9073
91,R8X1RMK5JDGKM,0.5423
92,RIGRO8YAV5XL6,0.9192
93,R1Q31WY7K8V9JI,-0.1444
94,R19CPR1IAL5XFP,0.6369
95,R6SBBM9ZB8U9W,0.9729
96,RUYUENHPSLBUL,0.9541
97,R2ULR8J582ZZ07,0.6683
98,R1F9U7LHF7K0TZ,0.9574
