,review_id,compound_unclean
0,RY52KZABZK8QF,-0.6273
1,R3GCOEV4HYZG2I,0.514
2,R1V2OPPNL0QGCE,0.8155
3,R9Q0QDTLKV567,-0.395
4,R3DL7HYC3QTWNI,0.0
5,R3M88678ZYC6WI,0.8476
6,R2G20T7N6L3HO1,0.0516
7,R29F0E6EJJCEEM,0.7717
8,R1WU4A3QFKJ0HT,-0.1621
9,R2Q061UH1EJHIJ,0.7351
10,R2F0TUS62C3ZCN,0.9573
11,R2X9MN0B0MVUZT,0.3384
12,R35P4D0NHKAGKE,0.6696
13,R2V6PXBBC9ZPKZ,0.6938
14,R1MTXPHNTE0OEM,-0.9535
15,RR48906IDDC7R,0.1522
16,R3BRGLMPYWFS2N,0.7289
17,R1FB7BN6Z0L3XO,0.9856
18,R3U4EMQXXN5ZWA,0.9148
19,RCFH27W77OTPH,0.8316
20,R2R63T6FP7G9JL,0.5423
21,RLQM6VC4WYV08,-0.656
22,R3YSEIBEK0XYT,0.0
23,R9HXJK5NX9IPY,0.7474
24,R14FJ9TGHJN8X8,0.8807
25,R36FKD0RA85LD2,-0.2023
26,RV08WAK7KQ5C8,0.4215
27,RUMJPRPFJFIZ2,0.5267
28,R29HSQ1GJXRRXH,0.8481
29,RRO2C7LNHYSSL,0.5719
30,ROKWTKVHCUN0D,0.6249
31,R23IP4R4VPCU7W,0.5719
32,R3ALDVS4RB8YJD,0.8024
33,R7LFUNGK7ZW6L,0.2732
34,RYUZHTA87W6I9,0.5577
35,R2UQX5X29O3ICI,0.6414
36,R3MSBQ3L6OIFIP,0.4404
37,RPR2PCYD8LDEM,0.7184
38,R17Z5LA3XNPOSX,0.8126
39,R1V1MIFZU32A97,0.9026
40,R33HSAVWTVNLG6,0.6369
41,R37VRG2JRLUORR,0.8674
42,R1UFH7URKHIN3E,0.0
43,R3M0JKAJ6MB493,0.8495
44,RE5FI6X7K940Q,0.3612
45,R4IVJK585QSVN,0.879
46,R191WJ8DHZTEB3,0.7217
47,RX0KIGMX2MNAG,0.6556
48,R33QQZWE5WZ1MK,0.5812
49,R2XD9H8S4VPDDT,0.9133
50,R2OXNE998ILXLZ,-0.888
51,R1CXMZHGT72D65,0.4404
52,RUXO2SYPJHRAR,0.9522
53,R1DDJOZCYZBOT9,0.4337
54,R2A9T9J3IZ5H5E,0.8356
55,R3EPBXK1X7BZDI,0.9531
56,R1HFUJLGGZLA2X,0.6696
57,R1SGRCSYQEMI0F,0.8622
58,R198VUDI60EYSE,0.2023
59,R2VDH787K2ZDVS,-0.2263
60,RJSZGT70TBDBX,0.6249
61,R1LKTKXR8G1437,0.6588
62,R2UDBTRZJPU09T,-0.7188
63,R2487ZJ2GCE02N,0.4927
64,R33PO0Y4KJSRIB,0.2942
65,R32U84HFYW9RAB,0.9552
66,R243KI1FG0AU9V,0.9631
67,R2WZZTZYTMETND,0.9217
68,R3E7YAWJUADFEN,0.4754
69,R2DJ78G40RCH9Z,0.9168
70,RN8OH8WQQAE3Z,0.8754
71,R1J4VBBQ7CY8LY,-0.8703
72,RRC3S9SHXY1XP,0.4927
73,R2S6C5PBXVCHFD,0.807
74,R1RCBMXTERHOHJ,0.7717
75,RTRM5DKF96E9D,0.8553
76,R32N9OYUHZYHKB,-0.8622
77,R39MLY03O5BEIB,0.0
78,R24L0SMFBBZ6HY,0.5719
79,R30L6DPZXQ6JDR,0.9641
80,R3B1AXP92P40OK,0.6696
81,R199R4XPI71OP6,0.9081
82,R24NEPZ4WFT7C0,0.6186
83,R1PIZ8HOJNUTAF,-0.3036
