,review_id,compound_unclean
0,R1A3ZUBR8TSAKY,0.765
1,RLJNYBK4FGBYX,0.6386
2,R26QCW75C4JDOK,0.5719
3,R2E7N0TVLUHUDR,0.5719
4,R1SO9VMCIGZX3U,0.6239
5,R2EUVAGKYPV8Z3,0.6249
6,R2EC65V4U7R8FZ,0.6249
7,RG9XY3EKPUCL1,0.3612
8,R1QR2VQN2KLU6Z,0.9274
9,R3PRYHYQE0TLYK,0.9711
10,R2M4WTN0Z3EJZ5,0.7003
11,R2WGKHKDDYUBV8,0.8478
12,R2UQFAFNMGSFKE,0.4404
13,R1B3QE6JZ2OKEY,0.7495
14,R3CSWENZZI15LL,0.5095
15,R31OJB468465EI,0.8264
16,R28PVLOQYIT58Q,0.1255
17,R15YIDY8YOE6WJ,0.4404
18,r2fs20tloqbb7v,0.4199
19,r15jbyjr38bp85,0.5994
20,R3MLL7RWQF0O81,0.9915
21,R3I217L0P5PRJ1,0.8883
22,R2WOALUE0F2T34,0.5719
23,RJ2ESUGLL44TE,0.3612
24,R12GS48GGS342D,0.4404
25,RF9AFROPBZDOB,0.7425
26,RB9WN05XBWHNS,0.8011
27,R19MRGJZHVATQ3,0.6249
28,R3K4BR7TIXGEOX,0.6243
29,R32PSTXBHIC7L7,0.7906
30,R276A8JHY3995L,0.2298
31,RG069FYKF0U2U,0.714
32,R2LHORKBRA09RO,0.6369
33,R28NXUO2TRX9ZW,0.0
34,R3R0UQWQOR8MDJ,0.0
35,RAV784AEUO7SA,0.8861
36,R3E7AL77KGTT8B,0.2263
37,R2MENJ5IB4AWC0,0.7931
38,r357c38jyv00lr,-0.17
39,R17CIEP2M4146I,0.6588
40,R398TDP4U486LC,0.4404
41,R33ZWKQXUQQDZ,0.8268
42,R25DMG4XWJJ3DE,0.6467
43,R7LY1OIA4JT2L,0.9665
44,R183JJT0CPS09X,0.9363
45,R25SDKA4FJHMYA,0.25
46,R1Z2PRKQW6QYYN,0.8261
47,R2NH9GDPZDEL9W,0.0
48,R2O1PZX3XZ9ZOF,0.4215
49,R2FCN5FV5F97WC,0.0757
50,RRHADB6U5D4E1,0.8455
51,R139D5GYPAJDRZ,0.0
52,R3CVEQ5UE25IE9,-0.3612
53,R2AGH5OVT2ACNO,0.5753
54,R1BGPCYL8W5VA1,0.8147
55,R3LVPU0EI7A8W1,0.93
56,RTW8JH4X2T475,0.3818
57,R3IISR5NZR7M5F,0.8122
58,R3DF3KZPQAY5TF,-0.6952
59,R2M6JWR2M8J8O7,0.4738
60,R2MBPE42AL8HJB,0.8071
61,R2H5Z6KTXYVPDU,0.8834
62,RGW6HZB0F8EHG,0.0
63,R1BUXLXR3JDCOO,0.784
64,R1DWYYC1QWV7PJ,0.975
65,RHT25183W91GO,0.7096
66,R14J1X32N8O6KU,0.5106
67,RNG6UA952IQMN,0.8827
68,R3OZNWYPA6417Q,0.6696
69,R3A7R5SLIU4JCL,0.5551
70,R2L6QTVHUOEB5S,0.7964
71,R9QPNS02RQN7V,0.6114
72,RFPEDEJWHK71C,0.0
73,R2DJNNJPFZQZ8X,0.5187
74,RKZ7E8MZ81Z1F,-0.3203
75,RAYT0H5MYNJIZ,0.0
76,R11XQNQQHXVLE0,0.4019
77,R1TOPQ9LYVWLEQ,0.5095
78,R3L2XRVPW48ZH4,0.1754
79,R19YVWB63R7ISL,0.8234
80,R9ANTZOZ8KVRL,0.4482
81,R3U8H2JZK01ORC,0.5719
82,R2MAKK4LLO8EFU,0.6369
83,R2LP2MOF6R67VN,0.7574
84,R2P984ZAWSXNP8,0.0516
85,R3FD4HXLLMNKQV,-0.477
86,RTQ7NXXDVJ0O6,-0.1664
87,R2X97G2665BLF4,0.9033
88,R5BTBQ3YZJEIB,0.93
89,RYRO12BSTMG87,0.802
90,R129FJQB145221,0.0
91,R29OV6OSLX7VQC,0.8494
92,R2RA264AB5EG8E,-0.7896
93,R1GLNZNZ6SQ0VM,0.853
94,R1NELFZURZ2394,0.25
95,R2JABZDGWK12F3,0.0
96,R1GA1X199CI282,0.0
97,RSWPIE4Y8G1RU,0.9152
98,R3KMVPIDCX0ZXS,0.2924
99,R39C7KE82QARUX,0.8971
100,R14VW64XW155V1,-0.0138
101,R1M5LEX1BH0RQ6,0.6249
102,R731YMDMW9JXO,0.8304
103,R3UOUNVET516OW,0.0
104,R1OZUHZUXD0R2L,0.8807
105,R310NVVI9PIHTL,-0.128
106,R3QMHQM8W47IO9,-0.6007
107,R1W2WL0SRIL2X,0.6249
108,R1Y4WSOPOPC89S,0.8357
109,R2AABN1GYF3UVA,0.8126
110,R2U82LEBDLN3LD,0.765
111,R1OL3OO3SLN95F,0.9622
112,R33Y9T3Q6HSJQV,0.9147
113,R9LWXAGBRBRR5,0.6486
114,R1LYI1CNWLHU89,0.7088
115,R118VPCWPTKMPW,-0.6381
116,R3NNJ8XUV0LS4P,0.7169
117,RE2JG1DPUU5KK,-0.3071
118,R6CW9ASP7TNJN,0.4588
119,R1L8X6EOUV9ORB,0.3612
120,R3VY8OJ8YUBGPN,0.7975
121,R3B2L8GF0OIOA6,0.4404
122,R3VHFGDVLKE7MU,0.6249
123,R38709MVR69R9X,0.9642
124,RA6IHF64PY1Q1,0.9274
125,R3BGAN1DSTVVY8,0.9178
126,R24IH39FT0MHP7,0.6249
127,R2LPUSAAFDSDO0,0.4374
128,R3NVE5E5G5S9RU,-0.6597
129,R28ZALN7YGAPQ3,0.3948
130,R37X7CWZMZ27AD,0.0
131,R3HTNROUIP3X3Q,-0.395
132,R3KBTQ97ZQPBP1,0.8067
133,R3ENZ68F5N4JD3,0.4003
134,R3RACFTREJ9Y8J,0.8172
135,R14QN7FFR05989,0.3182
136,R18F6J16PMY490,0.9411
137,R2CKYQ4ZGAM5R2,0.9521
